#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_1120	6402	6245	23588	11320	23934	2665	2360	18621	10914	19522
SL1344_1121	3265	3445	12854	6881	14523	1541	1423	10862	6320	11976
SL1344_1122	15331	17619	10644	14739	12061	6099	14434	9448	9266	9709
SL1344_1123	2241	2604	1941	2382	1711	701	2311	1825	1561	1976
SL1344_1124	1897	1242	924	1216	720	245	940	597	714	947
SL1344_1125	738	478	331	481	272	55	379	152	178	408
SL1344_1126	191	165	97	169	145	60	180	106	90	155
SL1344_1127	25641	26284	22647	29997	19234	10739	31427	22713	19325	23097
SL1344_1128	1990	1996	1564	2180	1383	1116	2297	1621	1213	1865
SL1344_1129	8081	6695	4856	7783	4473	2594	6589	4637	4436	5051
SL1344_1130	5705	5521	4093	6016	3270	1310	5256	3352	3239	4102
SL1344_1131	12994	13739	10435	17704	10830	4073	15293	10441	11960	9387
SL1344_1132	9031	15001	10213	12020	8390	3426	11571	9564	8170	13191
SL1344_1133	28403	42595	30034	38137	30764	12386	41783	35151	36115	23820
SL1344_1134	20222	26114	20545	28401	19979	8974	25236	21361	20903	24622
SL1344_1135	796	681	464	776	401	207	574	427	379	509
SL1344_1136	1384	1664	933	1318	886	491	1521	809	854	1084
SL1344_1137	806	1067	750	859	610	284	995	610	477	636
SL1344_1138	589	641	440	524	364	177	534	376	315	406
SL1344_1139	1548	2249	1352	1752	1273	624	2040	1132	885	1359
SL1344_1140	21226	39365	19966	15279	28584	6914	17389	10884	6575	24081
SL1344_1141	273	81	89	612	65	30	163	41	21	50
SL1344_1142	2109	3437	2431	2822	3367	695	2864	2530	2696	2919
SL1344_1143	353	531	355	357	353	185	320	286	298	360
SL1344_1144	607	968	489	500	565	268	505	442	424	472
SL1344_1145	1183	2035	964	972	1017	264	929	729	877	816
SL1344_1146	859	1291	650	783	876	354	942	630	698	541
SL1344_1147	515	872	432	486	504	142	595	477	388	443
SL1344_1148	7034	10216	4774	6249	4209	2176	7242	5553	5906	5175
SL1344_1149	1166	3678	153	225	154	833	2012	174	349	87
SL1344_1150	540	763	352	582	475	291	839	553	529	461
SL1344_1151	2329	1735	1963	3162	1816	755	3047	1719	689	2139
SL1344_1152	119	126	43	92	61	22	121	48	39	50
SL1344_1153	2292	3155	1975	2744	1988	1185	2711	1993	1976	2128
SL1344_1154	1237	1691	1033	1366	1038	502	1399	942	883	1036
SL1344_1155	649	881	554	806	559	165	692	456	482	501
SL1344_1156	1483	1644	899	1285	977	515	1194	785	865	862
SL1344_1157	1072	1325	772	963	697	399	1020	753	752	806
SL1344_1158	1288	1385	723	1016	851	486	1197	782	881	727
SL1344_1159	1805	2619	1690	2105	1798	1465	2750	2074	2011	1483
SL1344_1160	347	350	255	401	279	160	432	297	215	292
SL1344_1161	316	225	145	265	136	62	232	164	102	246
SL1344_1162	479	485	448	515	382	226	546	332	255	400
SL1344_1163	3444	3325	2293	4181	2724	1492	4120	2675	2963	1991
SL1344_1164	279	569	256	239	280	107	448	292	334	256
SL1344_1166	2	11	4	2	3	0	5	0	0	8
SL1344_1167	1026	1151	813	1093	897	370	1153	726	782	1000
SL1344_1168	4299	5698	3705	4539	4315	1323	5478	3488	3113	4809
SL1344_1169	2913	3880	2501	3192	3330	1332	3498	3345	3292	1873
SL1344_1170	2950	3241	2572	4322	2821	1335	4371	3029	3376	2898
SL1344_1171	1527	1190	872	1389	878	381	1213	748	757	1424
SL1344_1172	7100	7732	5097	7467	4839	2332	7025	4963	5045	6102
SL1344_1173	231	219	113	230	123	60	209	119	121	158
SL1344_1174	667	740	387	659	449	186	714	350	417	325
SL1344_1175	890	1068	677	1090	747	260	1245	639	687	808
SL1344_1176	11883	16501	6518	7974	9815	2818	8502	10873	16629	7639
SL1344_1177	223	322	150	165	271	45	203	173	185	389
SL1344_1179	576	531	257	353	267	144	514	273	252	365
SL1344_1180	2175	2736	1666	1882	1568	829	3654	1941	1587	1423
SL1344_1181	2841	2652	523	1138	531	512	3151	530	515	1282
SL1344_1182	2564	548	430	1043	424	175	734	324	424	689
SL1344_1183	7	12	2	0	8	3	21	4	4	14
SL1344_1184	243	292	88	155	190	64	297	142	118	204
SL1344_1185	1190	2272	135	255	145	367	3585	130	162	136
SL1344_1186	311	258	45	110	66	39	197	81	72	117
SL1344_1187	4160	6051	3701	1576	3407	1150	3309	3747	1109	3258
SL1344_1188	110	148	85	92	63	41	108	59	59	54
SL1344_1189	524	175	84	176	106	60	171	123	146	118
SL1344_1190	1700	1789	557	756	560	744	1319	1275	1149	527
SL1344_1191	553	880	369	513	561	202	531	929	1685	417
SL1344_1192	121	199	88	95	124	39	127	186	199	136
SL1344_1193	48	61	33	47	36	6	25	31	28	43
SL1344_1194	233	373	171	234	218	35	218	214	252	217
SL1344_1195	41	27	10	17	27	6	33	23	49	27
SL1344_1196	74	177	32	97	31	20	265	34	19	39
SL1344_1197	72	236	33	60	32	34	222	41	24	36
SL1344_1198	422	934	278	454	330	163	1071	268	212	317
SL1344_1199	172	203	81	145	120	58	163	98	86	127
