#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_0002	696	871	624	862	734	460	886	618	350	599
SL1344_0003	867	1466	876	883	826	280	1069	702	503	1030
SL1344_0004	1503	2770	1657	1876	1665	634	2127	1394	1005	1421
SL1344_0005	415	712	385	585	488	346	754	520	464	375
SL1344_0006	292	296	153	250	195	109	320	198	173	290
SL1344_0007	10070	18323	9434	13843	12511	3239	14785	10911	11967	9785
SL1344_0008	783	780	554	833	599	212	610	562	598	618
SL1344_0009	1496	1762	2150	2231	1513	649	1684	1701	908	1475
SL1344_0010	41	64	39	53	38	14	42	20	26	40
SL1344_0011	46	46	58	35	36	10	58	23	17	39
SL1344_0012	12434	48517	39491	8264	24934	8497	22500	34211	4203	25097
SL1344_0013	4126	14622	10537	1864	6141	2401	4954	7076	1445	5454
SL1344_0014	207	342	282	105	213	61	225	211	53	361
SL1344_0015	23	43	33	11	21	5	31	33	5	34
SL1344_0016	11	31	7	10	8	4	17	9	4	6
SL1344_0017	17	39	16	26	7	4	34	30	17	32
SL1344_0018	294	372	159	241	123	86	300	158	127	157
SL1344_0019	143	153	69	86	66	37	109	57	51	73
SL1344_0020	9	8	6	7	15	7	3	5	28	13
SL1344_0021	63	70	32	44	34	18	51	24	23	29
SL1344_0022	12	9	8	8	4	1	20	4	2	5
SL1344_0023	177	348	112	149	141	45	249	125	80	166
SL1344_0024	44	52	21	34	33	15	63	29	25	32
SL1344_0025	22	32	18	20	12	21	27	15	11	11
SL1344_0026	0	0	9	9	2	3	11	6	0	9
SL1344_0027	40	37	27	28	16	2	29	18	9	30
SL1344_0028	174	240	162	194	147	69	159	124	114	121
SL1344_0029	90	113	77	73	75	31	132	96	50	84
SL1344_0030	6	6	0	22	3	0	4	7	6	2
SL1344_0031	17	37	13	28	25	2	49	31	15	42
SL1344_0032	19	13	19	23	20	1	20	19	11	16
SL1344_0033	199	274	112	94	96	50	152	94	112	84
SL1344_0034	123	191	98	102	98	52	163	76	56	83
SL1344_0035	3	6	0	7	8	1	15	6	6	0
SL1344_0036	136	343	87	128	113	68	263	78	80	119
SL1344_0037	51	108	36	48	33	16	79	38	26	42
SL1344_0038	34	29	8	19	17	10	23	14	5	26
SL1344_0039	305	483	173	300	209	125	537	276	211	250
SL1344_0040	1396	2544	1198	1606	1556	738	2122	1346	1065	1361
SL1344_0041	1017	1583	855	1089	939	605	1569	878	613	801
SL1344_0042	252	301	162	217	169	87	254	127	104	128
SL1344_0043	52	65	24	40	37	16	55	39	28	52
SL1344_0044	16445	18294	15732	21899	15296	10099	20565	15806	13505	16251
SL1344_0045	56	32	22	37	13	13	33	26	8	25
SL1344_0046	3580	5380	3304	3478	3134	1168	3087	2718	2972	2727
SL1344_0047	8864	13442	7758	8105	7187	4380	8470	6829	7877	6332
SL1344_0048	496	703	419	463	356	196	544	348	320	513
SL1344_0049	1256	1738	937	1235	972	591	1319	848	968	1075
SL1344_0050	2504	3030	1645	2258	1506	965	2282	1541	1630	1752
SL1344_0051	1388	1664	957	1127	834	282	1308	858	811	1129
SL1344_0052	664	1072	777	777	655	159	989	614	385	997
SL1344_0053	137	276	127	162	166	53	183	113	86	162
SL1344_0054	105	187	86	70	136	45	125	76	48	111
SL1344_0055	7	14	7	2	8	3	3	4	1	0
SL1344_0056	0	0	0	0	0	0	0	0	0	0
SL1344_0057	5	7	4	4	2	6	6	2	0	17
SL1344_0058	8	23	11	18	11	6	7	4	2	20
SL1344_0059	12	25	11	15	5	11	13	13	5	11
SL1344_0060	2	15	6	6	10	2	11	7	4	10
SL1344_0061	28	52	14	26	13	19	17	26	16	18
SL1344_0062	38	56	26	30	17	13	29	30	6	19
SL1344_0063	7	14	14	9	3	0	13	4	3	14
SL1344_0064	38	49	22	40	30	14	39	18	40	24
SL1344_0065	503	891	519	584	447	201	706	496	391	438
SL1344_0067	421	572	444	575	390	183	529	398	414	418
SL1344_0068	1062	1435	937	1190	948	424	1252	1026	911	900
SL1344_0069	133	192	96	155	111	67	195	107	73	118
SL1344_0070	9	22	17	17	23	4	12	21	17	27
SL1344_0071	33	33	10	23	27	10	33	35	12	25
SL1344_0072	65	70	47	62	58	20	64	40	24	77
SL1344_0074	91	74	57	67	90	20	58	67	68	88
SL1344_0075	8	20	10	9	19	4	10	8	6	12
SL1344_0076	46	63	29	39	53	15	75	27	40	34
SL1344_0077	18	22	3	18	9	6	10	10	6	18
SL1344_0078	16	22	3	14	6	14	5	6	6	5
SL1344_0079	4	6	0	1	0	0	2	1	2	1
SL1344_0080	180	221	97	168	110	34	185	86	70	130
SL1344_0081	142	510	23	15	12	32	588	13	11	25
SL1344_0082	1168	1501	494	616	675	183	1195	619	594	521
SL1344_0083	110	155	48	90	72	29	136	64	61	64
SL1344_0084	441	588	282	385	274	109	580	246	206	406
SL1344_0086	31	97	16	30	26	23	58	22	25	20
SL1344_0087	487	1155	270	353	336	203	429	265	276	241
SL1344_0088	917	1491	915	1015	842	323	1328	918	972	949
SL1344_0089	4303	4403	2362	3902	2726	806	3296	2111	2525	3039
SL1344_0090	1378	1826	948	1503	945	281	1321	984	949	1022
SL1344_0091	1967	2075	1220	2031	1367	536	1947	1212	1294	1496
SL1344_0092	2472	2612	1579	2591	1934	667	2258	1664	2090	1730
SL1344_0093	8213	10783	5714	8625	6132	3241	8882	5949	6672	5296
SL1344_0094	9873	13311	7561	9710	7437	3295	10377	6482	6968	7781
SL1344_0095	2811	3658	1993	2296	1787	618	2742	2036	2169	1970
SL1344_0096	1022	933	694	1161	575	577	989	741	780	738
SL1344_0097	4408	5244	3878	5930	3079	2324	5410	3737	3261	3605
SL1344_0098	814	649	428	643	403	172	607	409	355	549
SL1344_0099	203	96	86	135	106	52	110	92	114	71
SL1344_0100	100	97	60	73	50	24	97	52	46	58
SL1344_0101	13	25	7	9	25	3	19	1	15	13
SL1344_0102	28	46	13	30	26	13	21	7	16	11
SL1344_0103	24	17	8	8	23	3	4	14	4	2
SL1344_0104	104	104	55	54	97	31	84	84	54	83
SL1344_0105	520	499	199	329	213	151	452	190	152	246
SL1344_0106	154	180	115	189	139	93	197	116	155	141
SL1344_0107	146	145	115	139	99	70	144	95	113	139
SL1344_0108	1034	1361	801	817	669	352	1037	631	585	767
SL1344_0109	195	329	176	186	178	105	257	168	113	206
SL1344_0109A	227	289	130	157	226	73	201	205	393	99
SL1344_0110	229	290	154	271	260	54	251	136	117	190
SL1344_0111	321	343	199	240	188	93	239	152	105	152
SL1344_0112	163	163	82	139	111	59	165	96	64	106
SL1344_0113	451	347	222	305	231	136	315	194	82	235
SL1344_0114	384	174	124	188	317	190	180	139	219	63
SL1344_0115	38	19	13	23	18	13	34	11	15	18
SL1344_0116	371	606	180	183	298	119	227	130	147	201
SL1344_0117	341	626	199	191	246	93	229	104	134	102
SL1344_0118	882	1526	794	989	1031	311	1011	842	1051	929
SL1344_0119	5766	10163	6064	6495	5654	1331	9241	5066	3730	6860
SL1344_0120	5626	8659	4267	5094	3852	1646	6149	3782	3536	4506
SL1344_0121	1469	2017	902	1156	876	459	1534	832	721	1043
SL1344_0122	6194	7492	3835	4914	4596	1649	5552	4069	5105	2876
SL1344_0123	7839	12128	5807	5864	5387	2252	6062	4016	4910	4318
SL1344_0124	2352	2959	1636	2129	1494	679	2311	1294	1404	1865
SL1344_0125	2006	2185	1135	1788	1399	817	1775	1184	1216	1251
SL1344_0126	3157	3944	2232	3014	2250	1112	3040	1757	1731	2363
SL1344_0127	2733	2749	1499	2152	1487	588	2187	1343	1243	1737
SL1344_0128	2258	2919	1558	2317	1388	678	2213	1375	1316	1544
SL1344_0129	5782	7194	4583	6540	4582	1359	6731	4086	4065	4800
SL1344_0130	3398	4515	2201	3149	1981	802	3555	1936	1824	2586
SL1344_0131	8437	11861	6513	9163	5807	1566	10561	5396	4899	6184
SL1344_0132	15333	21059	10630	14573	10112	3142	16514	9464	10009	9973
SL1344_0133	3927	5931	2939	4073	2964	1720	5336	3251	2690	3221
SL1344_0134	5462	6293	3908	5736	3902	2615	6436	4054	3476	5101
SL1344_0135	1516	1363	842	1462	894	294	1214	853	693	1384
SL1344_0136	15820	18435	10460	16475	10673	4682	14725	10441	11214	11362
SL1344_0137	1194	2355	593	715	601	278	1320	503	634	451
SL1344_0138	816	941	662	839	685	239	819	600	543	647
SL1344_0139	571	802	543	585	577	274	746	521	441	566
SL1344_0140	652	730	459	1108	856	229	950	719	766	839
SL1344_0141	5096	9311	4075	4749	4438	2022	7587	3846	3585	4559
SL1344_0142	34	32	26	36	29	1	26	25	17	15
SL1344_0143	13	9	8	14	10	4	8	9	7	17
SL1344_0144	10	6	6	8	3	1	12	3	3	5
SL1344_0145	258	268	175	366	258	171	478	243	279	198
SL1344_0146	661	600	284	399	292	120	463	230	345	337
SL1344_0147	256	290	157	200	174	108	269	164	169	148
SL1344_0148	105	113	37	83	69	10	88	49	48	73
SL1344_0149	80	91	39	78	39	31	72	57	30	59
SL1344_0150	602	875	515	743	655	272	715	623	766	382
SL1344_0151	11121	12855	6098	9888	6301	2919	9395	7959	9447	7005
SL1344_0152	62021	76146	44516	80707	45305	23715	60561	73829	106544	47178
SL1344_0153	23946	29311	18486	28611	16326	13723	23729	29417	38914	17836
SL1344_0154	27040	39622	23870	34712	23887	12218	31006	33876	43423	25728
SL1344_0155	527	245	189	473	203	109	279	335	640	224
SL1344_0156	76	61	42	36	15	6	38	22	23	33
SL1344_0159	5112	8983	2671	2649	4022	1315	3193	3888	6002	3672
SL1344_0160	279	396	305	305	282	84	388	518	812	539
SL1344_0161	1268	1860	880	1062	784	484	1265	956	1172	712
SL1344_0162	64	102	34	41	38	13	68	52	58	51
SL1344_0163	130	176	92	100	101	42	141	111	128	56
SL1344_0164	128	246	113	113	142	35	175	101	116	95
SL1344_0165	528	631	342	541	423	301	583	396	469	363
SL1344_0166	5253	6580	5001	8890	5374	2464	8037	5060	4183	5129
SL1344_0167	3013	3793	2962	4206	2622	1143	4571	2637	1953	3054
SL1344_0168	848	800	446	652	440	82	921	412	323	605
SL1344_0169	310	587	231	261	223	115	484	194	205	254
SL1344_0170	755	1580	352	826	314	348	1516	278	152	344
SL1344_0171	2784	3431	2482	3830	2940	1282	3928	3107	3716	2096
SL1344_0172	5528	5957	3493	6227	3960	2586	7197	3801	2592	4741
SL1344_0173	1352	1864	1101	1036	896	470	669	627	818	674
SL1344_0174	196	300	162	151	143	91	87	80	131	111
SL1344_0175	99	137	74	90	53	33	115	70	66	74
SL1344_0176	55	68	34	51	40	19	88	32	16	53
SL1344_0177	24	34	7	14	8	4	11	12	8	14
SL1344_0178	24	21	19	28	20	6	25	23	9	24
SL1344_0179	18	20	10	9	9	6	21	3	20	11
SL1344_0180	579	632	337	453	360	155	590	380	366	439
SL1344_0181	183	358	192	297	236	195	342	244	249	180
SL1344_0182	469	693	491	606	459	375	715	504	475	453
SL1344_0183	356	295	246	335	270	148	306	268	209	227
SL1344_0184	505	320	229	356	192	104	331	188	104	277
SL1344_0185	4132	4747	2834	4476	3758	2147	3956	2979	3109	2816
SL1344_0186	804	988	532	738	749	260	625	422	541	719
SL1344_0187	16023	25170	12423	13539	16353	6721	16421	13504	14163	10483
SL1344_0188	344	538	257	280	254	94	353	227	177	330
SL1344_0189	68	92	45	98	50	36	61	74	47	72
SL1344_0190	1076	1824	857	1004	799	425	1177	692	703	877
SL1344_0191	5116	9021	3284	4512	3305	2018	7036	3030	3133	2698
SL1344_0192	12050	4308	4803	16307	3366	2082	8026	1947	465	3926
SL1344_0193	1092	316	388	2050	284	203	642	167	46	258
SL1344_0194	1059	286	392	2020	243	250	680	179	23	247
SL1344_0195	1373	392	507	3100	316	223	738	248	79	341
SL1344_0196	38	74	28	41	22	11	67	12	16	40
SL1344_0197	87	133	47	94	65	17	65	71	31	60
SL1344_0198	38	22	18	15	11	4	32	10	12	17
SL1344_0199	13	30	16	18	17	7	22	12	12	7
SL1344_0200	14	11	13	13	1	4	12	11	7	9
SL1344_0201	2	15	9	3	7	0	15	0	1	9
SL1344_0202	168	270	123	164	140	56	203	126	72	189
SL1344_0203	1245	2062	1320	1493	1396	721	1771	1461	1360	1177
SL1344_0204	508	783	402	444	368	144	532	350	485	364
SL1344_0205	1274	1969	1053	1301	992	684	2006	1273	1095	984
SL1344_0206	153	185	103	127	150	77	165	138	121	187
SL1344_0207	438	582	378	486	355	195	543	420	299	335
SL1344_0208	906	1168	836	1306	1038	432	1191	1028	1238	709
SL1344_0209	645	1212	501	581	513	169	748	446	425	605
SL1344_0210	1585	1891	1166	1467	1155	374	1326	1310	793	1205
SL1344_0211	675	672	298	265	439	71	257	278	338	285
SL1344_0212	516	1477	421	356	684	235	1042	559	670	442
SL1344_0213	751	858	466	551	514	134	665	387	393	491
SL1344_0214	1250	1609	1020	1365	1321	648	1633	1151	1159	1087
SL1344_0215	1932	2108	1453	2222	1371	611	1753	1150	1220	1583
SL1344_0216	1207	1329	867	1646	1090	783	1430	1171	1213	885
SL1344_0217	33446	42702	32070	40147	28194	16270	40420	30835	24584	35579
SL1344_0218	49210	65866	49894	61777	43612	28330	61181	48101	39380	49076
SL1344_0219	6500	8156	5588	7969	4575	3513	8185	6149	6161	5716
SL1344_0220	4743	6710	4795	6632	4722	2690	7116	5776	5006	5568
SL1344_0221	1118	1412	882	1237	863	589	1253	864	832	793
SL1344_0222	8013	8450	4727	6165	4363	2295	4082	3608	3988	5012
SL1344_0223	4433	4891	3119	4069	2806	1319	3303	2393	2517	2960
SL1344_0224	14520	16258	8586	11568	8682	2823	11432	8373	9208	8471
SL1344_0225	15160	19473	11395	14650	11660	4495	14748	12040	13163	11629
SL1344_0226	3907	5334	3137	3699	2838	1877	3694	3530	3863	2684
SL1344_0227	12331	18515	11560	16768	11094	3061	13975	11273	12279	13765
SL1344_0228	6083	7668	5627	9423	6420	1874	6592	5972	7285	6737
SL1344_0229	3088	3458	2389	3884	2428	1506	2981	2527	2935	2244
SL1344_0230	6374	7060	4199	6245	3950	2055	5525	3763	4230	3798
SL1344_0231	1897	2105	1342	1867	1143	492	1558	970	1009	1482
SL1344_0232	14493	16536	10619	14120	9201	3646	13043	8576	9068	9047
SL1344_0233	2559	3034	1955	3080	1953	1007	2748	1927	1786	2000
SL1344_0234	713	777	331	591	340	242	442	335	361	339
SL1344_0235	1769	3421	1258	1720	1343	450	2436	1230	1111	1682
SL1344_0236	772	1515	540	713	534	271	1211	521	549	495
SL1344_0237	1447	2475	1056	1239	955	314	1624	814	769	1028
SL1344_0238	107	108	52	88	70	33	115	47	44	125
SL1344_0239	569	719	290	344	365	315	644	415	341	208
SL1344_0240	209	306	170	275	207	125	224	171	227	171
SL1344_0241	442	663	265	351	282	164	596	317	331	294
SL1344_0242	1654	2604	876	1438	910	694	2036	1018	1167	757
SL1344_0243	2973	3924	2621	3861	2808	2217	4026	3113	3263	2397
SL1344_0244	391	501	306	438	292	208	475	253	228	361
SL1344_0245	452	542	364	649	510	270	629	390	395	349
SL1344_0246	752	1468	811	1088	771	649	1601	940	849	876
SL1344_0247	371	452	362	475	392	168	634	436	352	425
SL1344_0248	247	278	250	328	293	259	395	384	314	256
SL1344_0249	495	743	389	374	324	259	395	332	467	322
SL1344_0250	1954	1131	950	1387	839	269	1318	736	545	1225
SL1344_0251	176	290	158	190	178	94	216	129	128	199
SL1344_0252	135	179	74	92	67	45	133	79	65	77
SL1344_0253	298	395	199	290	313	129	303	183	152	225
SL1344_0254	182	211	93	156	101	46	189	126	85	162
SL1344_0255	11685	10697	4878	10468	5404	4784	13842	6021	5857	6018
SL1344_0256	520	584	315	488	391	131	628	283	280	474
SL1344_0257	100	95	60	68	36	12	69	34	43	87
SL1344_0258	1168	1288	790	1088	720	326	1199	741	825	769
SL1344_0259	1121	1247	784	1154	897	443	1397	872	970	824
SL1344_0260	84	69	43	63	29	12	62	23	28	32
SL1344_0261	34	40	10	5	12	4	15	6	10	9
SL1344_0262	65	96	27	51	48	29	87	22	12	32
SL1344_0263	27	19	17	27	13	11	18	10	11	22
SL1344_0264	48	85	49	34	35	21	51	31	31	26
SL1344_0265	33	57	41	41	36	3	42	40	17	19
SL1344_0266	175	288	201	198	204	71	240	197	106	188
SL1344_0267	35	57	28	30	38	18	41	26	10	43
SL1344_0268	132	247	140	145	134	47	152	99	80	150
SL1344_0270	27	30	10	11	13	10	25	12	10	17
SL1344_0271	10	31	15	20	17	0	18	21	20	21
SL1344_0272	272	147	71	250	155	47	226	173	250	101
SL1344_0273	35	50	24	42	25	2	68	36	37	66
SL1344_0274	12	33	11	30	10	14	22	15	10	19
SL1344_0275	27	13	15	15	9	11	27	6	7	5
SL1344_0276	22	28	16	15	25	2	23	19	12	10
SL1344_0277	41	44	24	33	23	17	62	39	24	27
SL1344_0278	46	70	37	40	34	14	57	27	13	34
SL1344_0279	17	35	10	28	20	1	45	21	19	19
SL1344_0280	273	318	161	234	177	85	271	131	171	208
SL1344_0281	103	209	90	58	71	26	107	67	68	51
SL1344_0282	64	108	37	33	47	15	79	35	37	41
SL1344_0283	149	269	134	149	135	28	163	141	89	93
SL1344_0284	250	278	163	216	172	68	217	147	128	180
SL1344_0285	24	76	26	33	22	8	26	26	20	31
SL1344_0286	727	1472	731	641	648	234	938	617	591	537
SL1344_0286A	149	379	206	113	189	53	186	100	113	164
SL1344_0288	287	363	219	271	239	60	367	230	149	362
SL1344_0291	43	58	33	50	35	11	61	36	38	38
SL1344_0292	30	30	14	14	17	10	24	12	5	1
SL1344_0295	268	404	233	245	190	110	355	283	173	162
SL1344_0296	80	161	72	87	79	34	125	76	40	69
SL1344_0297	1312	2190	988	1000	955	315	1324	995	985	881
SL1344_0298	231	298	215	192	176	55	284	143	141	205
SL1344_0299	143	258	106	125	127	48	178	139	105	157
SL1344_0300	268	470	229	294	369	97	458	245	148	408
SL1344_0301	22	38	17	26	34	7	31	17	25	23
SL1344_0302	383	557	242	269	286	165	492	244	233	262
SL1344_0303	202	306	122	271	158	42	273	181	143	186
SL1344_0304	203	275	126	187	166	63	249	145	128	192
SL1344_0305	734	1619	628	689	904	133	855	505	507	774
SL1344_0306	1744	3264	1843	2209	1861	590	2712	1787	1808	2222
SL1344_0307	1161	1648	979	1267	962	371	1500	943	904	1005
SL1344_0308	1341	1129	1003	1059	1054	195	1028	759	588	1186
SL1344_0309	627	500	333	505	301	180	447	353	307	256
SL1344_0311	182	157	74	93	47	58	131	105	78	59
SL1344_0312	4863	10101	5996	8128	7437	1626	9337	6031	6730	7514
SL1344_0313	1111	1541	1187	2048	1212	741	1683	1631	1808	1066
SL1344_0314	658	912	548	815	588	384	996	647	530	723
SL1344_0315	1500	2901	1180	1279	1286	304	1965	1218	1079	1248
SL1344_0316	77	56	34	35	37	13	57	31	27	44
SL1344_0317	1955	3509	1710	2142	2047	576	2970	1530	1250	1899
SL1344_0318	1917	3470	1764	2196	2007	683	2898	1764	1371	1614
SL1344_0322	674	1311	505	222	705	118	361	360	446	444
SL1344_0323	26	56	28	28	29	7	22	28	19	25
SL1344_0325	79	55	43	37	41	21	61	34	31	40
SL1344_0326	62	124	65	86	75	34	124	63	51	81
SL1344_0327	161	202	115	135	152	60	190	140	125	117
SL1344_0328	117	213	113	128	111	67	232	122	88	147
SL1344_0329	122	146	57	80	59	32	127	44	51	27
SL1344_0330	10	19	11	1	9	6	22	6	12	25
SL1344_0331	175	148	102	134	95	44	164	87	45	112
SL1344_0332	83	117	55	78	56	32	109	42	23	71
SL1344_0333	126	194	82	97	87	22	130	99	65	114
SL1344_0334	2	5	2	2	0	1	3	1	1	1
SL1344_0335	1	1	5	4	2	2	4	0	0	5
SL1344_0336	153	243	180	215	248	52	232	196	194	438
SL1344_0338	243	444	136	217	171	46	365	146	102	235
SL1344_0339	614	915	461	623	528	170	951	471	387	692
SL1344_0340	122	250	84	160	127	54	209	120	80	173
SL1344_0341	72	101	51	87	50	19	114	44	35	89
SL1344_0342	83	162	59	70	36	19	103	66	60	81
SL1344_0343	15	49	15	45	22	20	39	39	19	30
SL1344_0344	128	252	142	144	118	49	275	153	91	101
SL1344_0345	13	31	21	15	16	11	13	9	5	21
SL1344_0346	32	27	9	16	19	6	13	6	17	18
SL1344_0347	4	6	2	4	2	2	8	0	1	2
SL1344_0348	93	113	66	48	87	8	103	44	50	67
SL1344_0349	16	35	9	7	11	13	18	21	5	19
SL1344_0350	11	7	2	5	4	0	5	6	0	10
SL1344_0351	51	123	40	45	65	18	66	46	37	72
SL1344_0352	2203	2899	1913	2273	2130	777	2315	1789	1835	2043
SL1344_0353	2842	3879	2488	2912	2396	933	3186	2132	2057	2645
SL1344_0354	54	162	6	17	14	7	181	6	8	11
SL1344_0355	197	648	48	161	71	101	662	63	17	35
SL1344_0356	99	181	27	44	51	42	244	27	12	19
SL1344_0358	424	328	270	505	211	91	455	151	105	312
SL1344_0359	577	484	266	658	345	114	622	250	185	319
SL1344_0360	57	68	22	40	74	23	49	29	30	37
SL1344_0361	115	774	35	66	69	67	644	62	59	48
SL1344_0362	108	316	38	32	154	21	46	145	346	173
SL1344_0363	21	24	4	19	17	3	11	22	8	20
SL1344_0364	22	29	14	37	24	16	28	23	12	43
SL1344_0365	13	38	23	22	13	9	31	14	11	16
SL1344_0366	114	198	78	108	108	20	127	78	84	122
SL1344_0367	1152	1222	739	1247	827	658	1195	969	963	764
SL1344_0368	420	533	245	358	292	182	558	260	174	300
SL1344_0369	152	138	62	78	70	16	120	51	44	93
SL1344_0370	215	339	116	162	154	169	294	126	120	66
SL1344_0371	965	1145	567	807	630	235	813	531	619	539
SL1344_0372	1248	1563	696	862	569	298	1044	611	753	540
SL1344_0373	119	194	23	30	33	63	173	23	27	31
SL1344_0374	87	119	45	44	78	30	74	73	77	59
SL1344_0375	1507	2502	1284	1621	1575	778	2076	1712	1849	1165
SL1344_0376	83	158	19	51	60	13	106	17	53	39
SL1344_0377	52	40	18	51	16	12	39	30	27	32
SL1344_0378	2266	2764	894	1370	1105	695	2674	1487	1436	922
SL1344_0379	60	61	18	28	11	9	74	13	14	43
SL1344_0380	219	247	117	121	87	66	286	87	68	153
SL1344_0381	1926	2817	1308	1708	1687	818	1870	1437	1639	1115
SL1344_0382	262	413	211	270	248	72	299	204	180	310
SL1344_0383	1204	1441	853	1234	876	322	1105	751	676	1094
SL1344_0384	2243	4052	1239	2218	1345	427	3925	1186	1210	1345
SL1344_0385	931	1611	527	900	554	155	1082	427	365	746
SL1344_0386	561	614	250	268	231	109	447	250	252	229
SL1344_0387	1611	2606	1667	2095	1519	821	2274	1791	1734	1673
SL1344_0388	352	578	269	302	329	101	454	314	309	288
SL1344_0389	134	117	96	168	99	42	142	87	87	115
SL1344_0390	2437	2389	1617	2299	1476	774	1834	1564	1689	1458
SL1344_0391	629	669	448	744	596	209	670	483	470	520
SL1344_0392	1111	1842	934	1208	958	563	1419	1125	1023	954
SL1344_0393	681	992	530	696	487	255	867	560	478	565
SL1344_0394	1446	1604	1112	1521	924	332	1445	931	811	1083
SL1344_0395	1335	1193	947	1622	880	630	1280	919	870	868
SL1344_0396	657	518	313	441	207	124	325	180	236	234
SL1344_0397	4329	6747	4416	4748	5321	3618	6784	5711	5262	4403
SL1344_0398	377	595	341	432	467	260	615	374	321	400
SL1344_0399	1519	1573	1220	1978	1235	487	1519	1156	1118	1479
SL1344_0400	8330	12711	7670	11241	8129	2709	10887	7920	8448	7218
SL1344_0401	5544	7798	5135	8070	7232	3223	7249	5879	6000	3971
SL1344_0402	9999	14777	8969	12092	9521	3166	10749	8004	8966	7583
SL1344_0403	2443	2901	1820	1898	1649	1182	1407	1257	1424	1383
SL1344_0404	177	146	112	147	87	32	117	68	67	134
SL1344_0405	485	408	242	374	265	78	390	208	216	345
SL1344_0406	1724	2368	1495	2650	1749	445	2609	1815	1585	1876
SL1344_0407	5636	12438	4482	2058	11061	1359	2752	5100	8321	6882
SL1344_0408	211	476	78	81	78	91	379	76	58	40
SL1344_0409	524	709	499	653	519	214	952	605	521	510
SL1344_0410	1402	2582	1277	2087	1831	988	2752	1991	2361	1633
SL1344_0411	4055	4743	3348	4211	3171	1386	4868	3308	2993	3391
SL1344_0412	781	777	549	728	501	472	668	541	530	573
SL1344_0413	2338	2693	2015	2331	1500	786	2257	1292	1490	1609
SL1344_0414	107	79	64	92	57	72	64	87	64	36
SL1344_0415	975	876	424	553	438	175	608	294	314	441
SL1344_0416	1900	2265	1172	1333	1432	688	1112	859	928	1156
SL1344_0417	1001	1281	651	806	775	401	777	531	607	646
SL1344_0418	726	831	649	797	773	216	841	573	683	553
SL1344_0419	4431	3564	2611	4335	2488	1335	3344	2641	2864	2672
SL1344_0420	73	49	56	49	80	8	58	30	24	51
SL1344_0421	19	12	5	11	12	5	12	1	6	9
SL1344_0422	56	110	56	95	77	33	98	64	38	91
SL1344_0423	57	48	26	40	39	16	44	26	20	38
SL1344_0424	152	189	99	226	124	62	195	122	156	138
SL1344_0425	18	20	8	23	18	8	20	5	10	15
SL1344_0426	14	13	10	7	16	1	10	9	7	12
SL1344_0427	171	237	75	146	111	78	210	120	147	128
SL1344_0428	1828	2144	1194	1885	1549	378	1921	1216	1471	1218
SL1344_0429	1865	3325	2146	2302	1861	1075	2968	2237	1802	1879
SL1344_0430	427	667	322	534	474	272	621	477	361	370
SL1344_0431	451	564	281	346	263	128	474	357	215	363
SL1344_0432	658	728	459	597	472	161	724	420	379	743
SL1344_0433	29930	48596	25458	29554	25975	13243	29078	26850	32257	19475
SL1344_0434	8432	14513	8943	12203	10739	2721	11512	9688	9735	11088
SL1344_0435	7948	11858	6926	9015	7582	4975	7707	7539	7901	7994
SL1344_0436	15136	21890	12219	17978	14298	8293	15627	14438	18456	13802
SL1344_0437	31420	44740	25000	35871	28707	11737	33952	31083	39879	22653
SL1344_0438	511	758	495	627	547	294	578	502	456	545
SL1344_0439	381	586	423	771	663	408	955	742	698	431
SL1344_0440	539	886	368	395	379	196	692	468	402	247
SL1344_0441	28768	38008	26787	36788	26164	13950	31910	27857	27974	24896
SL1344_0442	5216	7456	5008	4210	5306	1543	4029	3485	3190	3916
SL1344_0443	5532	7966	4666	4666	4481	2303	5972	4204	3360	4471
SL1344_0444	5350	12439	9675	4594	6455	3115	7005	7494	2948	6061
SL1344_0445	12303	16948	8923	11675	12133	5667	12220	11354	13813	6027
SL1344_0446	5696	9802	5162	4251	4351	3321	4811	3931	5002	3371
SL1344_0447	185	259	110	44	116	41	61	32	66	39
SL1344_0448	60	120	32	28	28	11	55	22	17	23
SL1344_0449	254	407	257	309	347	149	302	255	349	294
SL1344_0450	124	308	98	73	271	26	108	96	76	141
SL1344_0451	70	75	15	33	66	29	67	41	23	35
SL1344_0452	139	173	82	118	127	43	151	110	96	77
SL1344_0453	465	836	367	538	382	176	612	424	385	434
SL1344_0454	1110	1857	913	1243	876	403	1365	774	704	1012
SL1344_0455	1054	1445	736	1056	826	266	1091	637	621	986
SL1344_0456	52	21	33	33	29	6	47	55	164	44
SL1344_0457	185	256	170	181	174	27	170	354	491	157
SL1344_0458	636	834	474	629	501	259	865	462	408	484
SL1344_0459	344	1452	121	189	141	64	1451	129	99	210
SL1344_0460	622	882	576	723	643	116	835	516	456	762
SL1344_0461	831	1101	520	806	638	228	1033	701	674	631
SL1344_0462	87	91	51	78	43	26	123	67	38	83
SL1344_0463	282	338	152	221	175	46	426	190	211	159
SL1344_0464	942	754	565	886	777	297	919	678	728	811
SL1344_0465	3165	3453	1135	1836	1337	889	2971	1253	1310	1315
SL1344_0466	1501	2255	854	1266	951	325	2314	870	599	1690
SL1344_0467	2654	3768	1179	1951	1315	596	4459	1163	1126	1569
SL1344_0468	9889	13372	7834	12897	8054	5106	12571	8185	7744	7763
